text,intent
What is my career goal?,CAREER_GOAL
Can I realistically become a frontend developer?,CAREER_GOAL
Am I ready to become a software developer?,CAREER_GOAL
Is frontend development a realistic career for me?,CAREER_GOAL
How realistic is my target career?,CAREER_GOAL
Can I reach my target role?,CAREER_GOAL
Am I ready for my target career?,CAREER_GOAL
Evaluate my career goal,CAREER_GOAL
How close am I to becoming a backend developer?,CAREER_GOAL
Do I have what it takes for my target role?,CAREER_GOAL
Is my career target realistic based on my profile?,CAREER_GOAL
How prepared am I for my target role?,CAREER_GOAL
Can you evaluate my career direction?,CAREER_GOAL
What career should I aim for?,CAREER_GOAL
How suitable am I for the career I want?,CAREER_GOAL
How am I progressing?,CAREER_PROGRESS
Am I improving?,CAREER_PROGRESS
How has my career progress changed?,CAREER_PROGRESS
Show me my progress,CAREER_PROGRESS
Have my scores improved?,CAREER_PROGRESS
How much have I improved?,CAREER_PROGRESS
Compare my latest results with my previous results,CAREER_PROGRESS
Is my CV getting better over time?,CAREER_PROGRESS
Are my interview results improving?,CAREER_PROGRESS
Show my career development,CAREER_PROGRESS
What has improved since my last assessment?,CAREER_PROGRESS
What areas have declined recently?,CAREER_PROGRESS
How is my professional development going?,CAREER_PROGRESS
Compare my previous and current performance,CAREER_PROGRESS
What trends do you see in my career performance?,CAREER_PROGRESS
Analyze my CV,CV_ANALYSIS
Can you analyze my resume?,CV_ANALYSIS
How good is my CV?,CV_ANALYSIS
What is my CV score?,CV_ANALYSIS
What is my resume score?,CV_ANALYSIS
How strong is my resume?,CV_ANALYSIS
Show me my CV analysis,CV_ANALYSIS
Can you review my CV scores?,CV_ANALYSIS
What does my CV analysis say?,CV_ANALYSIS
How does my resume perform?,CV_ANALYSIS
Check my ATS score,CV_ANALYSIS
What are the strengths and weaknesses of my CV?,CV_ANALYSIS
Give me an overview of my resume analysis,CV_ANALYSIS
How well is my CV structured?,CV_ANALYSIS
Tell me about my latest CV analysis,CV_ANALYSIS
How can I improve my CV?,CV_IMPROVEMENT
How should I improve my resume?,CV_IMPROVEMENT
What should I change in my CV?,CV_IMPROVEMENT
Give me CV improvement suggestions,CV_IMPROVEMENT
How can I increase my ATS score?,CV_IMPROVEMENT
What should I fix in my resume?,CV_IMPROVEMENT
Help me make my CV better,CV_IMPROVEMENT
What are the biggest problems in my CV?,CV_IMPROVEMENT
How can I make my resume more competitive?,CV_IMPROVEMENT
What should I improve first in my CV?,CV_IMPROVEMENT
Give me recommendations for improving my CV,CV_IMPROVEMENT
How can I optimize my resume for ATS?,CV_IMPROVEMENT
What changes would improve my resume score?,CV_IMPROVEMENT
How can I strengthen the content of my CV?,CV_IMPROVEMENT
Help me optimize my current resume,CV_IMPROVEMENT
Can you help me with my career?,GENERAL_CAREER_HELP
I need career advice,GENERAL_CAREER_HELP
Can you give me career guidance?,GENERAL_CAREER_HELP
I need help with my professional career,GENERAL_CAREER_HELP
What can you help me with?,GENERAL_CAREER_HELP
How can you help me with my career?,GENERAL_CAREER_HELP
I need some professional advice,GENERAL_CAREER_HELP
Can you guide me professionally?,GENERAL_CAREER_HELP
I am not sure what career help I need,GENERAL_CAREER_HELP
Help me with my career development,GENERAL_CAREER_HELP
I need general career support,GENERAL_CAREER_HELP
What career services can you provide?,GENERAL_CAREER_HELP
Can you assist me with career planning?,GENERAL_CAREER_HELP
I have a career question,GENERAL_CAREER_HELP
Give me some career advice,GENERAL_CAREER_HELP
Hello,GREETING
Hi,GREETING
Hey,GREETING
Good morning,GREETING
Good afternoon,GREETING
Good evening,GREETING
Hello there,GREETING
Hi there,GREETING
Hey there,GREETING
How are you?,GREETING
Is anyone there?,GREETING
Nice to meet you,GREETING
Hello career assistant,GREETING
Hi InterviewIQ,GREETING
Hey I have a question,GREETING
How did I do in my last interview?,INTERVIEW_FEEDBACK
Give me feedback on my interview,INTERVIEW_FEEDBACK
How was my interview performance?,INTERVIEW_FEEDBACK
What did I do wrong in my interview?,INTERVIEW_FEEDBACK
What were my interview weaknesses?,INTERVIEW_FEEDBACK
What were my interview strengths?,INTERVIEW_FEEDBACK
Review my latest interview,INTERVIEW_FEEDBACK
What score did I get in my interview?,INTERVIEW_FEEDBACK
Show me my interview feedback,INTERVIEW_FEEDBACK
How was my technical interview?,INTERVIEW_FEEDBACK
What should I learn from my last interview?,INTERVIEW_FEEDBACK
Analyze my latest interview results,INTERVIEW_FEEDBACK
